iter	Passed	Remaining
209	55824	37216
210	56182	37011
211	56456	36750
212	56780	36520
213	57147	36318
214	57373	36025
215	57635	35755
216	57888	35480
217	58116	35190
218	58355	34906
219	58647	34655
220	58908	34385
221	59125	34090
222	59346	33798
223	59674	33566
224	59926	33292
225	60151	33003
226	60444	32752
227	60732	32497
228	61023	32243
229	61317	31991
230	61552	31708
231	61917	31492
232	62245	31256
233	62525	30995
234	62793	30728
235	63042	30452
236	63327	30193
237	63610	29934
238	63871	29663
239	64145	29400
240	64429	29140
241	64697	28873
242	64956	28602
243	65223	28334
244	65451	28050
245	65710	27780
246	66026	27533
247	66412	27314
248	66794	27093
249	67320	26928
250	67856	26764
251	68151	26503
252	68390	26220
253	68751	25984
254	69075	25734
255	69393	25480
256	69679	25214
257	69999	24960
258	70325	24708
259	70575	24429
260	70943	24191
261	71324	23956
262	71587	23680
263	71986	23450
264	72318	23196
265	72759	22976
266	73137	22735
267	73524	22496
268	73848	22237
269	74144	21968
270	74387	21684
271	74648	21406
272	75020	21159
273	75337	20896
274	75656	20633
275	75941	20361
276	76175	20075
277	76408	19789
278	76684	19514
279	76946	19236
280	77181	18951
281	77430	18671
282	77773	18412
283	78128	18156
284	78422	17885
285	78725	17616
286	79086	17360
287	79361	17084
288	79638	16809
289	79903	16531
290	80187	16257
291	80426	15975
292	80664	15692
293	80905	15410
294	81129	15125
295	81370	14844
296	81621	14565
297	81858	14284
298	82120	14007
299	82370	13728
300	82621	13449
301	82889	13174
302	83253	12913
303	83465	12629
304	83698	12348
305	84088	12091
306	84351	11814
307	84607	11537
308	84888	11263
309	85173	10990
310	85462	10717
311	85722	10440
312	85958	10161
313	86206	9883
314	86450	9605
315	86733	9332
316	86986	9055
317	87213	8776
318	87472	8500
319	87775	8228
320	88034	7953
321	88257	7674
322	88483	7396
323	88716	7119
324	88963	6843
325	89226	6568
326	89462	6292
327	89706	6016
328	89937	5740
329	90176	5465
330	90412	5189
331	90663	4915
332	91008	4646
333	91397	4378
334	91665	4104
335	91929	3830
336	92157	3555
337	92397	3280
338	92630	3005
339	92896	2732
340	93141	2458
341	93368	2184
342	93639	1911
343	93849	1636
344	94070	1363
345	94337	1090
346	94579	817
347	94902	545
348	95150	272
349	95401	0
