iter	RMSE
205	0.323654044
206	0.3234484734
207	0.3232088008
208	0.3228759332
209	0.3224639517
210	0.3221708179
211	0.3218856075
212	0.3215768338
213	0.3212905145
214	0.3210747319
215	0.320646182
216	0.320441513
217	0.3201657151
218	0.3199273943
219	0.3197602333
220	0.3193960147
221	0.3192033597
222	0.3189468707
223	0.3186866586
224	0.3185194863
225	0.3182278485
226	0.317676906
227	0.3173195176
228	0.3171011952
229	0.3169461871
230	0.3167296357
231	0.3164063674
232	0.3161401909
233	0.3157423222
234	0.3155430555
235	0.3151051954
236	0.3149038001
237	0.314738704
238	0.3144280185
239	0.3143096091
240	0.3140408486
241	0.3138354365
242	0.3137370199
243	0.3135339352
244	0.3133619777
245	0.3131503506
246	0.3129349904
247	0.3127072779
248	0.3124513504
249	0.3121690097
250	0.3119117385
251	0.3117557019
252	0.311528322
253	0.3114243887
254	0.3112511553
255	0.3110806577
256	0.3108907009
257	0.3106938007
258	0.3103548108
259	0.3100877312
260	0.3098145002
261	0.3096494985
262	0.3094934542
263	0.3093269533
264	0.3090163201
265	0.3087642847
266	0.3085623177
267	0.3084498261
268	0.3083147481
269	0.3081051027
270	0.3080142835
271	0.3078252366
272	0.3076149055
273	0.3074497788
274	0.3069057579
275	0.3066673781
276	0.3064223952
277	0.3061513818
278	0.3059335738
279	0.3058414112
280	0.3056098865
281	0.3052868548
282	0.3051009962
283	0.3048830118
284	0.3047295145
285	0.3045515189
286	0.3043294557
287	0.3041853642
288	0.3040941485
289	0.3038708961
290	0.3035532562
291	0.3034093228
292	0.3032792846
293	0.3031172992
294	0.3029759178
295	0.3027127042
296	0.3024520912
297	0.3022489126
298	0.3020340918
299	0.3018611154
300	0.3017362602
301	0.3015176388
302	0.301339262
303	0.3010952905
304	0.3008187898
305	0.3006501068
306	0.3004362163
307	0.3002448294
308	0.2998921542
309	0.2997176641
310	0.2995936295
311	0.2994053986
312	0.2992353133
313	0.2989696974
314	0.2987630404
315	0.2985050397
316	0.298272482
317	0.2980939814
318	0.297940412
319	0.2977574007
320	0.2973946397
321	0.2970700271
322	0.2969205948
323	0.2967880854
324	0.2965332393
325	0.296372919
326	0.2961920997
327	0.2960441173
328	0.2959451309
329	0.2958114324
330	0.2954278701
331	0.2950437936
332	0.2949150373
333	0.2947227364
334	0.2945803439
335	0.2943231525
336	0.2942631609
337	0.2940378928
338	0.2938265942
339	0.2937090612
340	0.2934010728
341	0.2932526662
342	0.2930790239
343	0.2929946231
344	0.2928804172
345	0.2926968227
346	0.292535855
347	0.2923360419
348	0.2920955288
349	0.2919491121
350	0.2917943071
351	0.2916559907
352	0.2914717463
353	0.2913587719
354	0.2911878545
355	0.291082547
356	0.2909747913
357	0.2908678887
358	0.2905247591
359	0.2903944404
360	0.2902342794
361	0.2900946516
362	0.2898540473
363	0.2894456773
364	0.2892919013
365	0.2891076811
366	0.2890332114
367	0.2888822762
368	0.2885648007
369	0.2883852977
370	0.288127695
371	0.2877289111
372	0.2874926519
373	0.2872664897
374	0.2870266206
375	0.2868319618
376	0.2866884556
377	0.2866047533
378	0.2865281102
379	0.2861345786
380	0.2859486345
381	0.2857981234
382	0.2855742947
383	0.2854204395
384	0.285237717
385	0.2850978191
386	0.2850138176
387	0.28484947
388	0.2847335639
389	0.2845156713
390	0.2844022727
391	0.2841846693
392	0.2840121064
393	0.2839189647
394	0.2837215821
395	0.2835494873
396	0.2833917099
397	0.283161538
398	0.2830609449
399	0.2828443924
